,default_chances,D,Greenspace,S urban cluster,S_green,entropy,chi2_statistic,p_value,world
500,[0.5 0.1 0.1 0.  0.5 0.  0.  0.  0. ],-1.9543140039189442,0.306,6903,14,0.6158626971929863,1505.44,0.0,"[[1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [0. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
501,[0.5 0.1 0.1 0.  0.5 0.1 0.  0.  0. ],-1.9635462181490042,0.253,7467,6,0.5656070450398599,2440.36,0.0,"[[0. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]]"
502,[0.5 0.1 0.1 0.  0.5 0.5 0.  0.  0. ],-1.9713449564129868,0.2049,7951,4,0.5071206882117627,3483.3604,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]]"
503,[0.5 0.1 0.1 0.1 0.  0.  0.  0.  0. ],-1.9338209934169837,0.4103,1547,22,0.6769675503346566,321.8436,5.745512758264217e-72,"[[1. 1. 1. ... 1. 0. 1.]
 [0. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 0.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]]"
504,[0.5 0.1 0.1 0.1 0.  0.1 0.  0.  0. ],-1.96174213917889,0.2635,7363,7,0.5766860642767062,2237.29,0.0,"[[1. 1. 1. ... 0. 1. 1.]
 [0. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
505,[0.5 0.1 0.1 0.1 0.  0.5 0.  0.  0. ],-1.9688656768157498,0.2203,7792,8,0.5272873991911315,3129.2836,0.0,"[[1. 0. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 0.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 0. 0. ... 0. 1. 1.]]"
506,[0.5 0.1 0.1 0.1 0.1 0.  0.  0.  0. ],-1.948379451564533,0.338,6562,10,0.6396999682785772,1049.76,2.744698608844443e-230,"[[1. 1. 1. ... 1. 1. 1.]
 [0. 1. 0. ... 1. 1. 0.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
507,[0.5 0.1 0.1 0.1 0.1 0.1 0.  0.  0. ],-1.962470874215059,0.2594,7406,6,0.5724283999799303,2315.5344,0.0,"[[1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
508,[0.5 0.1 0.1 0.1 0.1 0.5 0.  0.  0. ],-1.9711247095036937,0.2063,7936,4,0.5090130071461556,3450.3876,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
509,[0.5 0.1 0.1 0.1 0.5 0.  0.  0.  0. ],-1.9549238784141543,0.3028,6946,9,0.6132181023788741,1555.5136,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 0.]
 ...
 [1. 0. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 0.]]"
