,default_chances,D,Greenspace,S urban cluster,S_green,entropy,chi2_statistic,p_value,world
543,[0.5 0.1 0.5 0.5 0.1 0.1 0.  0.  0. ],-1.9606349828583685,0.2702,7297,7,0.5834576631880721,2112.3216,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
544,[0.5 0.1 0.5 0.5 0.1 0.5 0.  0.  0. ],-1.9674496681641247,0.2293,7707,5,0.5384291392677658,2931.1396,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
545,[0.5 0.1 0.5 0.5 0.5 0.  0.  0.  0. ],-1.9556031857020113,0.299,6981,9,0.6100146217270741,1616.04,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
546,[0.5 0.1 0.5 0.5 0.5 0.1 0.  0.  0. ],-1.9625214881975617,0.2591,7409,7,0.572113438863439,2321.3124,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
547,[0.5 0.1 0.5 0.5 0.5 0.5 0.  0.  0. ],-1.9696835649191586,0.2154,7845,5,0.5210239289607363,3239.8864,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
548,[0.5 0.5 0.  0.  0.  0.  0.  0.  0. ],-1.9141928505859986,0.4838,186,134,0.6926222086883578,10.4976,0.0011952969958688327,"[[0. 1. 1. ... 1. 1. 0.]
 [1. 0. 1. ... 0. 0. 1.]
 [1. 0. 0. ... 1. 0. 0.]
 ...
 [1. 0. 0. ... 1. 1. 0.]
 [0. 1. 1. ... 0. 1. 0.]
 [0. 1. 1. ... 0. 1. 0.]]"
549,[0.5 0.5 0.  0.  0.  0.1 0.  0.  0. ],-1.9590474310079662,0.2731,7151,47,0.5863178500073324,2059.3444,0.0,"[[0. 0. 0. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [0. 0. 1. ... 0. 0. 0.]
 [1. 1. 0. ... 0. 1. 0.]
 [1. 1. 1. ... 0. 0. 1.]]"
550,[0.5 0.5 0.  0.  0.  0.5 0.  0.  0. ],-1.9658340714607219,0.2347,7614,64,0.5448933327983149,2815.3636,0.0,"[[1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 0.]]"
551,[0.5 0.5 0.  0.  0.1 0.  0.  0.  0. ],-1.9490648646510131,0.3338,6573,13,0.6368371470932874,1104.8976,2.8472230744309393e-242,"[[0. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 0. 1. ... 0. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
552,[0.5 0.5 0.  0.  0.1 0.1 0.  0.  0. ],-1.9640637801818097,0.2499,7501,5,0.562225256720904,2502.0004,0.0,"[[1. 1. 1. ... 1. 1. 0.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
553,[0.5 0.5 0.  0.  0.1 0.5 0.  0.  0. ],-1.972222082958501,0.1993,8005,4,0.4994304848930149,3616.8196,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]]"
554,[0.5 0.5 0.  0.  0.5 0.  0.  0.  0. ],-1.953123907327132,0.312,6832,19,0.6206915638874382,1413.76,2.14962249917436e-309,"[[1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 ...
 [1. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 0. 1.]
 [0. 1. 1. ... 1. 1. 0.]]"
555,[0.5 0.5 0.  0.  0.5 0.1 0.  0.  0. ],-1.963496017563169,0.2533,7467,5,0.5659316097043999,2434.4356,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 0.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
556,[0.5 0.5 0.  0.  0.5 0.5 0.  0.  0. ],-1.9708725225461174,0.2079,7920,7,0.5111610034008459,3412.8964,0.0,"[[0. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]
 ...
 [1. 1. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
557,[0.5 0.5 0.  0.1 0.  0.  0.  0.  0. ],-1.9348551031133465,0.4049,1236,38,0.6749484923209093,361.7604,1.1648351985952263e-80,"[[1. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 [1. 0. 1. ... 0. 1. 0.]
 ...
 [1. 0. 0. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 0. 0.]
 [1. 1. 1. ... 1. 1. 1.]]"
558,[0.5 0.5 0.  0.1 0.  0.1 0.  0.  0. ],-1.9632279400092312,0.2549,7444,8,0.5676545938851286,2402.9604,0.0,"[[0. 1. 1. ... 1. 1. 0.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 0.]
 [0. 1. 1. ... 1. 0. 1.]]"
559,[0.5 0.5 0.  0.1 0.  0.5 0.  0.  0. ],-1.9699635890798264,0.2132,7864,9,0.5181656841156224,3290.1696,0.0,"[[1. 0. 0. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]]"
560,[0.5 0.5 0.  0.1 0.1 0.  0.  0.  0. ],-1.9482500480846618,0.3385,6544,9,0.6400355195992341,1043.29,6.994831313625089e-229,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
561,[0.5 0.5 0.  0.1 0.1 0.1 0.  0.  0. ],-1.962942476120941,0.2566,7434,5,0.569470496856888,2369.7424,0.0,"[[1. 1. 1. ... 1. 1. 0.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
562,[0.5 0.5 0.  0.1 0.1 0.5 0.  0.  0. ],-1.9700970190786327,0.2128,7872,6,0.5176429096280674,3299.3536,0.0,"[[0. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
563,[0.5 0.5 0.  0.1 0.5 0.  0.  0.  0. ],-1.954745446315527,0.3036,6927,9,0.613883787184412,1542.9184,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 0. 0. 1.]]"
564,[0.5 0.5 0.  0.1 0.5 0.1 0.  0.  0. ],-1.9634792795524623,0.2534,7466,6,0.5660396921652324,2432.4624,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 0.]]"
565,[0.5 0.5 0.  0.1 0.5 0.5 0.  0.  0. ],-1.9704616302594846,0.2105,7894,4,0.5146183802971117,3352.41,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
566,[0.5 0.5 0.  0.5 0.  0.  0.  0.  0. ],-1.938150364530203,0.389,3466,20,0.6682986722607167,492.84,3.434504379619711e-109,"[[1. 1. 0. ... 1. 1. 1.]
 [0. 1. 0. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
567,[0.5 0.5 0.  0.5 0.  0.1 0.  0.  0. ],-1.960857402882554,0.2689,7310,7,0.5821616831548417,2136.2884,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]]"
568,[0.5 0.5 0.  0.5 0.  0.5 0.  0.  0. ],-1.9670249359585188,0.2317,7681,6,0.5413223253543973,2879.3956,0.0,"[[0. 1. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]]"
569,[0.5 0.5 0.  0.5 0.1 0.  0.  0.  0. ],-1.9484332907489725,0.3379,6536,12,0.6396327239656835,1051.0564,1.434555935081592e-230,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
570,[0.5 0.5 0.  0.5 0.1 0.1 0.  0.  0. ],-1.9608061103077497,0.2692,7308,5,0.5824615175148841,2130.7456,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 ...
 [1. 1. 0. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
571,[0.5 0.5 0.  0.5 0.1 0.5 0.  0.  0. ],-1.967967496098582,0.2261,7737,5,0.5345208140947254,3000.8484,0.0,"[[0. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
572,[0.5 0.5 0.  0.5 0.5 0.  0.  0.  0. ],-1.955443378954024,0.2997,6994,9,0.6106098983702197,1604.8036,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
573,[0.5 0.5 0.  0.5 0.5 0.1 0.  0.  0. ],-1.9630936852824683,0.2557,7442,7,0.5685110278767448,2387.2996,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
574,[0.5 0.5 0.  0.5 0.5 0.5 0.  0.  0. ],-1.9697154176928129,0.2152,7848,4,0.5207652751391341,3244.4416,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 ...
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
575,[0.5 0.5 0.1 0.  0.  0.  0.  0.  0. ],-1.9212275106228145,0.4623,202,120,0.6903019009958622,56.8516,4.6997145750822195e-14,"[[1. 1. 0. ... 1. 1. 1.]
 [1. 0. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 0. 0. 1.]
 [0. 0. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
576,[0.5 0.5 0.1 0.  0.  0.1 0.  0.  0. ],-1.964289909026196,0.2477,7502,31,0.5597942006923137,2546.2116,0.0,"[[1. 1. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 0.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 0. 1.]]"
577,[0.5 0.5 0.1 0.  0.  0.5 0.  0.  0. ],-1.9695596150664314,0.2153,7827,10,0.5208946316452072,3242.1636,0.0,"[[1. 0. 1. ... 1. 1. 0.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 0. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]]"
578,[0.5 0.5 0.1 0.  0.1 0.  0.  0.  0. ],-1.948165866366987,0.3395,6496,12,0.6407032735989091,1030.41,4.4088570777085555e-226,"[[1. 1. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 0. 0. 1.]
 ...
 [1. 1. 1. ... 1. 0. 0.]
 [1. 0. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]]"
579,[0.5 0.5 0.1 0.  0.1 0.1 0.  0.  0. ],-1.963512753332428,0.2532,7467,5,0.5658234743724282,2436.4096,0.0,"[[1. 1. 1. ... 1. 1. 0.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
580,[0.5 0.5 0.1 0.  0.1 0.5 0.  0.  0. ],-1.9709198463801025,0.2076,7924,5,0.5107594409071219,3419.9104,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
581,[0.5 0.5 0.1 0.  0.5 0.  0.  0.  0. ],-1.9537532764138206,0.3093,6876,8,0.6185394350449371,1454.6596,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [0. 0. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 ...
 [1. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
582,[0.5 0.5 0.1 0.  0.5 0.1 0.  0.  0. ],-1.963311776033544,0.2544,7456,5,0.567117611887493,2412.7744,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]]"
583,[0.5 0.5 0.1 0.  0.5 0.5 0.  0.  0. ],-1.9708882991486445,0.2078,7919,6,0.5110272099897356,3415.2336,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
584,[0.5 0.5 0.1 0.1 0.  0.  0.  0.  0. ],-1.9331409748345505,0.4135,1333,24,0.6781071269145226,299.29,4.70388891761845e-67,"[[1. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [0. 1. 0. ... 1. 0. 1.]
 ...
 [1. 1. 0. ... 0. 1. 1.]
 [0. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 0. 1.]]"
585,[0.5 0.5 0.1 0.1 0.  0.1 0.  0.  0. ],-1.9624865398767581,0.2591,7399,8,0.572113438863439,2321.3124,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 1. 0. 1.]
 ...
 [1. 0. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
586,[0.5 0.5 0.1 0.1 0.  0.5 0.  0.  0. ],-1.968737382841433,0.2211,7782,8,0.5282966730080534,3111.4084,0.0,"[[1. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 0.]
 [0. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
587,[0.5 0.5 0.1 0.1 0.1 0.  0.  0.  0. ],-1.9471589990361842,0.3448,6504,11,0.6441680690880435,963.4816,1.5566737769870287e-211,"[[1. 1. 1. ... 1. 1. 1.]
 [0. 1. 0. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
588,[0.5 0.5 0.1 0.1 0.1 0.1 0.  0.  0. ],-1.9622682130515836,0.2606,7394,6,0.5736835631797572,2292.4944,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 0. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [1. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
589,[0.5 0.5 0.1 0.1 0.1 0.5 0.  0.  0. ],-1.969332647541353,0.2176,7824,5,0.5238535348350967,3189.9904,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
590,[0.5 0.5 0.1 0.1 0.5 0.  0.  0.  0. ],-1.9552997414245528,0.3007,6967,8,0.6114562444082179,1588.8196,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 1. 0.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
591,[0.5 0.5 0.1 0.1 0.5 0.1 0.  0.  0. ],-1.9633788043841747,0.254,7460,6,0.5666870774074232,2420.64,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
592,[0.5 0.5 0.1 0.1 0.5 0.5 0.  0.  0. ],-1.9705565715327942,0.2099,7901,5,0.5138241479336003,3366.3204,0.0,"[[1. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
593,[0.5 0.5 0.1 0.5 0.  0.  0.  0.  0. ],-1.9386165463060085,0.3862,4024,20,0.6670179156167511,518.0176,1.1424595427712173e-114,"[[1. 0. 1. ... 1. 1. 0.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 0. 0. 1.]
 [0. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
594,[0.5 0.5 0.1 0.5 0.  0.1 0.  0.  0. ],-1.9605493311815483,0.2707,7289,7,0.5839538335831903,2103.1396,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]]"
595,[0.5 0.5 0.1 0.5 0.  0.5 0.  0.  0. ],-1.9665219386534512,0.235,7645,8,0.5452476702809597,2809.0,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [0. 0. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 0. 1.]]"
596,[0.5 0.5 0.1 0.5 0.1 0.  0.  0.  0. ],-1.9480930699669246,0.3397,6550,9,0.640836289052557,1027.8436,1.5927703654513197e-225,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [0. 1. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
597,[0.5 0.5 0.1 0.5 0.1 0.1 0.  0.  0. ],-1.9600857950182409,0.2734,7266,7,0.5866113086439843,2053.9024,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
598,[0.5 0.5 0.1 0.5 0.1 0.5 0.  0.  0. ],-1.968209491314109,0.2246,7752,4,0.5326686767119446,3033.8064,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
599,[0.5 0.5 0.1 0.5 0.5 0.  0.  0.  0. ],-1.9550134721929975,0.3023,6940,9,0.6128005101959473,1563.4116,0.0,"[[1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 0.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 0. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
600,[0.5 0.5 0.1 0.5 0.5 0.1 0.  0.  0. ],-1.9634792795524623,0.2534,7464,5,0.5660396921652324,2432.4624,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
601,[0.5 0.5 0.1 0.5 0.5 0.5 0.  0.  0. ],-1.9694284500425998,0.217,7830,5,0.5230846523030585,3203.56,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
602,[0.5 0.5 0.5 0.  0.  0.  0.  0.  0. ],-1.9236764589545179,0.4529,206,53,0.6887037753672542,88.7364,4.510880259367392e-21,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 0. 1. 1.]
 [1. 0. 1. ... 0. 1. 0.]
 ...
 [1. 0. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 0. 1.]]"
603,[0.5 0.5 0.5 0.  0.  0.1 0.  0.  0. ],-1.9625720816899563,0.2588,7395,10,0.5717980089167505,2327.0976,0.0,"[[1. 1. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 0. 1. 0.]
 ...
 [1. 0. 1. ... 1. 1. 0.]
 [1. 1. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
604,[0.5 0.5 0.5 0.  0.  0.5 0.  0.  0. ],-1.9666944643872009,0.2333,7657,14,0.5432331254289787,2845.1556,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]]"
605,[0.5 0.5 0.5 0.  0.1 0.  0.  0.  0. ],-1.9461736029569048,0.3494,6412,11,0.6470744240918356,907.2144,2.6515741860552004e-199,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [0. 0. 1. ... 0. 0. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
