,default_chances,D,Greenspace,S_urban_cluster,S_green,entropy,chi2_statistic,p_value,world
48,[0.1 1.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.836885596854333,0.6649,108,6326,0.6377317119924177,1087.6804,1.5721469648881934e-238,"[[1. 1. 0. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 1. 1.]
 [0. 1. 0. ... 0. 1. 1.]
 ...
 [0. 0. 0. ... 0. 0. 1.]
 [1. 0. 0. ... 0. 1. 0.]
 [1. 0. 0. ... 0. 1. 0.]]"
49,[0.1 1.  0.1 0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.8567430974877932,0.6275,101,5861,0.6602728288381041,650.25,1.9712473037928224e-143,"[[1. 0. 0. ... 0. 0. 1.]
 [1. 0. 0. ... 0. 0. 1.]
 [0. 1. 0. ... 0. 0. 1.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 1. 1. 1.]]"
50,[0.1 1.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9113562959535437,0.4788,243,192,0.6922480310376653,17.9776,2.2351978664241098e-05,"[[1. 1. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [0. 0. 0. ... 0. 0. 1.]
 ...
 [1. 0. 0. ... 1. 0. 0.]
 [1. 0. 0. ... 0. 0. 0.]
 [1. 1. 0. ... 1. 1. 1.]]"
51,[0.1 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.905144456717358,0.481,1179,1231,0.6924250066981698,14.44,0.00014469608785024014,"[[0. 0. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 ...
 [1. 1. 0. ... 1. 0. 0.]
 [1. 1. 0. ... 1. 0. 0.]
 [1. 1. 1. ... 1. 0. 0.]]"
52,[0.1 1.  1.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9210788622674877,0.4238,4409,311,0.681488924666427,232.2576,1.918703616221161e-52,"[[1. 1. 1. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 0.]
 [0. 0. 1. ... 0. 0. 1.]
 [0. 0. 1. ... 1. 1. 1.]]"
53,[0.1 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9602228413404943,0.2476,7325,129,0.5596830821734909,2548.2304,0.0,"[[1. 0. 0. ... 1. 1. 1.]
 [0. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [0. 0. 1. ... 1. 1. 1.]
 [0. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]]"
54,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.9995948141039404,0.0024,9975,24,0.01687460539313894,9904.2304,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
55,[1.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9995948141039404,0.0024,9975,24,0.01687460539313894,9904.2304,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
56,[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.9995948141039404,0.0024,9975,24,0.01687460539313894,9904.2304,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
57,[1.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9995948141039404,0.0024,9975,24,0.01687460539313894,9904.2304,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
58,[1.  0.  0.1 0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9995948141039404,0.0024,9975,24,0.01687460539313894,9904.2304,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
59,[1.  0.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9995948141039404,0.0024,9975,24,0.01687460539313894,9904.2304,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
